N_base = 5000
N = 16000
f_CG = 25
N_base_CG = 200
N_CG = 640


N_leaves = 4
mll,1,200
mlr,201,340
mrl,341,540
mrr,541,640

ID, base-ID, min, max
1,1,1,25
2,2,26,50
3,3,51,75
4,4,76,100
5,5,101,125
6,6,126,150
7,7,151,175
8,8,176,200
9,9,201,225
10,10,226,250
11,11,251,275
12,12,276,300
13,13,301,325
14,14,326,350
15,15,351,375
16,16,376,400
17,17,401,425
18,18,426,450
19,19,451,475
20,20,476,500
21,21,501,525
22,22,526,550
23,23,551,575
24,24,576,600
25,25,601,625
26,26,626,650
27,27,651,675
28,28,676,700
29,29,701,725
30,30,726,750
31,31,751,775
32,32,776,800
33,33,801,825
34,34,826,850
35,35,851,875
36,36,876,900
37,37,901,925
38,38,926,950
39,39,951,975
40,40,976,1000
41,41,1001,1025
42,42,1026,1050
43,43,1051,1075
44,44,1076,1100
45,45,1101,1125
46,46,1126,1150
47,47,1151,1175
48,48,1176,1200
49,49,1201,1225
50,50,1226,1250
51,51,1251,1275
52,52,1276,1300
53,53,1301,1325
54,54,1326,1350
55,55,1351,1375
56,56,1376,1400
57,57,1401,1425
58,58,1426,1450
59,59,1451,1475
60,60,1476,1500
61,61,1501,1525
62,62,1526,1550
63,63,1551,1575
64,64,1576,1600
65,65,1601,1625
66,66,1626,1650
67,67,1651,1675
68,68,1676,1700
69,69,1701,1725
70,70,1726,1750
71,71,1751,1775
72,72,1776,1800
73,73,1801,1825
74,74,1826,1850
75,75,1851,1875
76,76,1876,1900
77,77,1901,1925
78,78,1926,1950
79,79,1951,1975
80,80,1976,2000
81,81,2001,2025
82,82,2026,2050
83,83,2051,2075
84,84,2076,2100
85,85,2101,2125
86,86,2126,2150
87,87,2151,2175
88,88,2176,2200
89,89,2201,2225
90,90,2226,2250
91,91,2251,2275
92,92,2276,2300
93,93,2301,2325
94,94,2326,2350
95,95,2351,2375
96,96,2376,2400
97,97,2401,2425
98,98,2426,2450
99,99,2451,2475
100,100,2476,2500
101,101,2501,2525
102,102,2526,2550
103,103,2551,2575
104,104,2576,2600
105,105,2601,2625
106,106,2626,2650
107,107,2651,2675
108,108,2676,2700
109,109,2701,2725
110,110,2726,2750
111,111,2751,2775
112,112,2776,2800
113,113,2801,2825
114,114,2826,2850
115,115,2851,2875
116,116,2876,2900
117,117,2901,2925
118,118,2926,2950
119,119,2951,2975
120,120,2976,3000
121,121,3001,3025
122,122,3026,3050
123,123,3051,3075
124,124,3076,3100
125,125,3101,3125
126,126,3126,3150
127,127,3151,3175
128,128,3176,3200
129,129,3201,3225
130,130,3226,3250
131,131,3251,3275
132,132,3276,3300
133,133,3301,3325
134,134,3326,3350
135,135,3351,3375
136,136,3376,3400
137,137,3401,3425
138,138,3426,3450
139,139,3451,3475
140,140,3476,3500
141,141,3501,3525
142,142,3526,3550
143,143,3551,3575
144,144,3576,3600
145,145,3601,3625
146,146,3626,3650
147,147,3651,3675
148,148,3676,3700
149,149,3701,3725
150,150,3726,3750
151,151,3751,3775
152,152,3776,3800
153,153,3801,3825
154,154,3826,3850
155,155,3851,3875
156,156,3876,3900
157,157,3901,3925
158,158,3926,3950
159,159,3951,3975
160,160,3976,4000
161,161,4001,4025
162,162,4026,4050
163,163,4051,4075
164,164,4076,4100
165,165,4101,4125
166,166,4126,4150
167,167,4151,4175
168,168,4176,4200
169,169,4201,4225
170,170,4226,4250
171,171,4251,4275
172,172,4276,4300
173,173,4301,4325
174,174,4326,4350
175,175,4351,4375
176,176,4376,4400
177,177,4401,4425
178,178,4426,4450
179,179,4451,4475
180,180,4476,4500
181,181,4501,4525
182,182,4526,4550
183,183,4551,4575
184,184,4576,4600
185,185,4601,4625
186,186,4626,4650
187,187,4651,4675
188,188,4676,4700
189,189,4701,4725
190,190,4726,4750
191,191,4751,4775
192,192,4776,4800
193,193,4801,4825
194,194,4826,4850
195,195,4851,4875
196,196,4876,4900
197,197,4901,4925
198,198,4926,4950
199,199,4951,4975
200,200,4976,5000
201,31,5001,5025
202,32,5026,5050
203,33,5051,5075
204,34,5076,5100
205,35,5101,5125
206,36,5126,5150
207,37,5151,5175
208,38,5176,5200
209,39,5201,5225
210,40,5226,5250
211,41,5251,5275
212,42,5276,5300
213,43,5301,5325
214,44,5326,5350
215,45,5351,5375
216,46,5376,5400
217,47,5401,5425
218,48,5426,5450
219,49,5451,5475
220,50,5476,5500
221,51,5501,5525
222,52,5526,5550
223,53,5551,5575
224,54,5576,5600
225,55,5601,5625
226,56,5626,5650
227,57,5651,5675
228,58,5676,5700
229,59,5701,5725
230,60,5726,5750
231,61,5751,5775
232,62,5776,5800
233,63,5801,5825
234,64,5826,5850
235,65,5851,5875
236,66,5876,5900
237,67,5901,5925
238,68,5926,5950
239,69,5951,5975
240,70,5976,6000
241,71,6001,6025
242,72,6026,6050
243,73,6051,6075
244,74,6076,6100
245,75,6101,6125
246,76,6126,6150
247,77,6151,6175
248,78,6176,6200
249,79,6201,6225
250,80,6226,6250
251,81,6251,6275
252,82,6276,6300
253,83,6301,6325
254,84,6326,6350
255,85,6351,6375
256,86,6376,6400
257,87,6401,6425
258,88,6426,6450
259,89,6451,6475
260,90,6476,6500
261,91,6501,6525
262,92,6526,6550
263,93,6551,6575
264,94,6576,6600
265,95,6601,6625
266,96,6626,6650
267,97,6651,6675
268,98,6676,6700
269,99,6701,6725
270,100,6726,6750
271,101,6751,6775
272,102,6776,6800
273,103,6801,6825
274,104,6826,6850
275,105,6851,6875
276,106,6876,6900
277,107,6901,6925
278,108,6926,6950
279,109,6951,6975
280,110,6976,7000
281,111,7001,7025
282,112,7026,7050
283,113,7051,7075
284,114,7076,7100
285,115,7101,7125
286,116,7126,7150
287,117,7151,7175
288,118,7176,7200
289,119,7201,7225
290,120,7226,7250
291,121,7251,7275
292,122,7276,7300
293,123,7301,7325
294,124,7326,7350
295,125,7351,7375
296,126,7376,7400
297,127,7401,7425
298,128,7426,7450
299,129,7451,7475
300,130,7476,7500
301,131,7501,7525
302,132,7526,7550
303,133,7551,7575
304,134,7576,7600
305,135,7601,7625
306,136,7626,7650
307,137,7651,7675
308,138,7676,7700
309,139,7701,7725
310,140,7726,7750
311,141,7751,7775
312,142,7776,7800
313,143,7801,7825
314,144,7826,7850
315,145,7851,7875
316,146,7876,7900
317,147,7901,7925
318,148,7926,7950
319,149,7951,7975
320,150,7976,8000
321,151,8001,8025
322,152,8026,8050
323,153,8051,8075
324,154,8076,8100
325,155,8101,8125
326,156,8126,8150
327,157,8151,8175
328,158,8176,8200
329,159,8201,8225
330,160,8226,8250
331,161,8251,8275
332,162,8276,8300
333,163,8301,8325
334,164,8326,8350
335,165,8351,8375
336,166,8376,8400
337,167,8401,8425
338,168,8426,8450
339,169,8451,8475
340,170,8476,8500
341,1,8501,8525
342,2,8526,8550
